p,median best k,mean best k,min best k,max best k
0.01,0.435,0.460,0.300,0.670
0.02,0.510,0.522,0.450,0.610
0.03,0.975,0.975,0.970,0.980
0.04,0.970,0.970,0.940,1.000
0.05,0.700,0.693,0.670,0.710
0.06,0.970,0.970,0.970,0.970
0.07,0.810,0.813,0.780,0.850
0.08,0.240,0.240,0.240,0.240
0.09,0.895,0.895,0.880,0.910
0.10,0.370,0.370,0.370,0.370
0.11,0.270,0.273,0.260,0.290
0.12,0.190,0.190,0.190,0.190
0.13,0.880,0.880,0.870,0.890
0.14,0.460,0.458,0.430,0.480
0.15,0.685,0.685,0.670,0.700
0.16,0.905,0.907,0.870,0.940
0.17,0.820,0.820,0.800,0.840
0.18,0.730,0.728,0.700,0.750
0.19,0.410,0.410,0.410,0.410
0.20,0.370,0.370,0.370,0.370
0.21,0.905,0.905,0.900,0.910
0.22,0.270,0.270,0.270,0.270
0.23,0.790,0.790,0.790,0.790
0.24,0.405,0.405,0.380,0.430
0.25,0.370,0.370,0.360,0.380
0.26,0.330,0.330,0.310,0.350
0.27,0.305,0.305,0.280,0.330
0.28,0.260,0.260,0.240,0.280
0.29,0.500,0.500,0.500,0.500
0.30,0.470,0.470,0.470,0.470
0.31,0.190,0.190,0.180,0.200
0.32,0.160,0.160,0.150,0.170
0.33,0.145,0.145,0.140,0.150
0.34,0.580,0.580,0.580,0.580
0.35,0.105,0.105,0.100,0.110
0.36,0.300,0.300,0.300,0.300
0.37,0.350,0.350,0.120,0.580
0.38,0.480,0.480,0.480,0.480
0.39,0.420,0.420,0.420,0.420
0.40,0.235,0.235,0.230,0.240
0.41,0.220,0.220,0.220,0.220
0.42,0.380,0.380,0.380,0.380
0.43,0.435,0.435,0.420,0.450
0.44,0.330,0.330,0.330,0.330
0.45,0.325,0.325,0.320,0.330
0.46,0.140,0.140,0.140,0.140
0.47,0.280,0.280,0.280,0.280
0.48,0.345,0.345,0.330,0.360
0.49,0.325,0.325,0.310,0.340
0.50,0.315,0.315,0.300,0.330
0.51,0.220,0.220,0.220,0.220
0.52,0.210,0.210,0.210,0.210
0.53,0.380,0.380,0.380,0.380
0.54,0.250,0.250,0.240,0.260
0.55,0.250,0.250,0.250,0.250
0.56,0.235,0.235,0.230,0.240
0.57,0.230,0.230,0.230,0.230
0.58,0.425,0.425,0.400,0.450
0.59,0.415,0.413,0.380,0.440
0.60,0.400,0.400,0.370,0.430
0.61,0.390,0.390,0.360,0.420
0.62,0.380,0.380,0.350,0.410
0.63,0.375,0.375,0.350,0.400
0.64,0.360,0.360,0.330,0.390
0.65,0.350,0.350,0.330,0.370
0.66,0.340,0.340,0.320,0.360
0.67,0.330,0.330,0.310,0.350
0.68,0.310,0.310,0.300,0.320
0.69,0.350,0.350,0.350,0.350
0.70,0.295,0.295,0.290,0.300
0.71,0.295,0.295,0.290,0.300
0.72,0.270,0.270,0.270,0.270
0.73,0.320,0.320,0.320,0.320
0.74,0.260,0.260,0.260,0.260
0.75,0.335,0.335,0.310,0.360
0.76,0.300,0.300,0.300,0.300
0.77,0.290,0.290,0.290,0.290
0.78,0.320,0.320,0.290,0.350
0.79,0.320,0.320,0.290,0.350
0.80,0.315,0.315,0.290,0.340
0.81,0.280,0.280,0.280,0.280
0.82,0.305,0.305,0.280,0.330
0.83,0.305,0.305,0.280,0.330
0.84,0.270,0.270,0.270,0.270
0.85,0.270,0.270,0.270,0.270
0.86,0.285,0.285,0.260,0.310
0.87,0.290,0.290,0.270,0.310
0.88,0.260,0.260,0.260,0.260
0.89,0.260,0.260,0.260,0.260
0.90,0.270,0.270,0.250,0.290
0.91,0.250,0.250,0.250,0.250
0.92,0.270,0.270,0.250,0.290
0.93,0.270,0.270,0.250,0.290
0.94,0.270,0.270,0.250,0.290
0.95,0.260,0.260,0.240,0.280
0.96,0.260,0.260,0.240,0.280
0.97,0.260,0.260,0.240,0.280
0.98,0.250,0.250,0.230,0.270
0.99,0.250,0.250,0.230,0.270
1.00,0.250,0.250,0.230,0.270
